49,49,49,49,3,3,3,3,3,0,0,3
46,46,46,46,3,0,0,3,0,0,3,0
46,46,46,46,3,3,6,0,6,3,0,3
52,52,52,52,6,3,0,3,0,3,0,0
42,42,42,42,0,0,0,0,6,0,3,3
41,41,41,41,3,0,0,3,0,3,3,0
50,50,50,50,3,0,3,6,3,3,3,0
46,46,46,46,0,6,0,3,0,0,0,6
41,41,41,41,0,6,0,3,0,3,3,3
44,44,44,44,0,6,3,0,3,3,0,6
48,48,48,48,6,3,6,0,0,3,3,6
44,44,44,44,6,6,0,6,3,6,3,9
34,34,34,34,12,3,3,3,6,3,3,3
33,33,33,33,0,0,6,3,0,3,3,3
71,71,71,71,9,3,3,0,9,6,3,6
50,50,50,50,3,3,6,6,3,0,0,0
39,39,39,39,3,0,9,0,6,3,3,3
47,47,47,47,0,0,3,0,0,0,0,0
49,49,49,49,6,0,6,3,3,0,3,3
39,39,39,39,9,0,3,0,3,0,6,0
43,43,43,43,3,3,6,3,3,3,0,0
46,46,46,46,3,0,3,0,3,0,3,3
29,29,29,29,3,3,3,3,0,3,0,3
37,37,37,37,0,0,3,3,3,3,0,3
48,48,48,48,6,0,0,0,3,3,0,3
40,40,40,40,3,3,0,0,0,0,0,0
36,36,36,36,6,0,3,3,6,3,3,3
47,47,47,47,3,3,3,3,0,0,3,3
44,44,44,44,3,0,6,0,3,3,0,3
35,35,35,35,6,3,6,0,3,0,0,0
36,36,36,36,9,3,3,0,0,0,3,0
57,57,57,57,6,3,3,0,3,0,3,3
55,55,55,55,6,3,0,6,3,3,0,3
47,47,47,47,0,3,3,3,3,3,0,6
50,50,50,50,3,3,3,6,0,3,3,3
44,44,44,44,3,0,3,0,0,0,3,3
53,53,53,53,0,3,6,3,3,3,0,0
46,46,46,46,3,3,3,3,3,0,3,3
41,41,41,41,0,0,3,3,0,0,0,6
35,35,35,35,9,3,0,0,6,3,0,6
35,35,35,35,3,3,6,3,0,3,6,0
56,56,56,56,9,0,3,0,0,0,3,3
47,47,47,47,0,3,3,0,3,0,0,0
48,48,48,48,3,3,0,6,3,3,3,0
55,55,55,55,6,0,3,6,3,0,3,0
53,53,53,53,0,6,3,3,6,0,0,6
53,53,53,53,3,6,6,3,6,0,3,3
49,49,49,49,0,6,0,0,3,3,3,6
47,47,47,47,0,3,3,3,0,0,3,3
